04-12 19:52:21 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 000598, price = 6.13, amount = 10
04-12 19:52:22 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 000598, price = 5.23, amount = 10
04-12 19:52:22 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 000598, price = 5.83, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 20.12, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.72, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 21.02, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 20.72, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 21.32, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 20.42, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 21.02, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.72, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 20.72, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 21.02, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 21.62, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 21.32, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 21.92, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 21.62, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 20.42, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.72, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 21.02, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 20.42, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.72, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.82, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.12, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.52, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.42, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.82, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.22, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.82, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.52, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.12, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.82, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.92, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.62, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.22, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.52, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.92, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.72, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.32, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.42, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 17.72, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.02, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.42, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.62, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.02, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.92, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.32, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.62, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.22, amount = 10
